,player_name,position,age,height,weight,rating,value,follower,shots_on,goals_total,goals_assists,passes_key,tackles_blocks,tackles_interceptions,duels_won,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,games_played
42,Joelinton,4.0,24.0,186.0,81.0,5.375,20.0,106490,0.31449600000000005,0.048902799999999996,0.026670999999999997,0.5069357999999999,0.0522106,0.24933130000000003,3.0579692,0.7181244,0.7190399000000001,0.8640434000000001,0.11016530000000001,0.0,0.0057908000000000005,80.5333
43,K. Benzema,4.0,33.0,185.0,81.0,7.090909090909091,32.0,34233539,0.5232276,0.0965347,0.04666529999999999,0.6489504,0.008406000000000002,0.11754389999999999,0.9853422000000001,0.4994514,0.2350411,0.2938364,0.004203000000000001,0.0,0.0,111.2556
44,K. Diatta,4.0,21.0,173.0,68.0,2.0,16.0,197203,0.0067662,0.035334599999999994,0.0,0.067851,0.0083593,0.0586552,0.069287,0.14246820000000002,0.0251246,0.0921858,0.0754205,0.0083593,0.0,55.7111
45,K. Dolberg,4.0,23.0,187.0,83.0,3.7857142857142856,81.0,390778,0.44335620000000003,0.0850429,0.0132818,0.2805894,0.013869900000000001,0.1525222,0.9455842,0.2581362,0.6933549,0.5338744000000001,0.034651400000000006,0.0,0.0,67.3556
46,K. MbappÃ©,4.0,22.0,178.0,73.0,4.875,180.0,40807990,0.628236,0.148749,0.0512298,0.5270454,0.0,0.0776154,0.8197482,0.7678692,0.42688470000000006,0.202678,0.0517436,0.0,0.0129359,108.3
47,K. Volland,4.0,28.0,178.0,85.0,7.222222222222222,40.0,176399,0.42725340000000006,0.0722623,0.0433538,0.5188050000000001,0.0188668,0.0895239,1.2543456,0.38147760000000003,0.7163780000000001,0.6880778000000001,0.0659871,0.0,0.0,99.0889
48,L. Bailey,4.0,23.0,178.0,79.0,6.888888888888888,29.5,516622,0.3969378,0.06265,0.028711599999999997,0.8379504000000001,0.0,0.31331030000000004,1.6607264,0.848988,0.6402103,0.5039864,0.0544989,0.0,0.013636400000000002,68.5667
49,L. Insigne,4.0,29.0,163.0,59.0,6.666666666666668,56.0,1333439,0.6256278,0.0626321,0.042315599999999995,0.929502,0.0,0.2738488,0.8980676000000001,0.6613866,0.38868410000000003,0.1413142,0.0662673,0.0,0.0044365,105.7333
50,L. MartÃ­nez_inter,4.0,23.0,179.0,72.0,7.0,64.0,163301,0.6365142,0.1022627,0.018830799999999998,0.3921372,0.028066700000000003,0.17554530000000002,1.5553484,0.5171796000000001,1.3340789000000002,0.9829883000000001,0.14042690000000002,0.0,0.007005,66.5111
51,L. Messi,4.0,33.0,170.0,72.0,8.222222222222221,112.0,154554857,1.0232459999999999,0.1764761,0.0777755,1.0358712,0.0,0.09755630000000001,2.357495,1.9233395999999998,1.0378608,0.26530270000000006,0.0585151,0.0,0.0,119.6889
52,L. MorÃ³n,4.0,27.0,188.0,66.0,7.0,16.0,83982,0.3977316,0.0765225,0.0176494,0.26724600000000004,0.06911600000000001,0.13052650000000002,1.3708018,0.2983176,1.0135301,0.6679968,0.06911600000000001,0.0,0.007658800000000001,60.8222
53,M. Asensio,4.0,24.0,182.0,76.0,5.0,32.0,12261348,0.44025660000000005,0.047381299999999994,0.03791219999999999,0.8471736000000001,0.0164851,0.2802,1.5939484000000002,0.7003962,0.5851043,0.3131702,0.0494553,0.0,0.0,56.6667
54,M. DembÃ©lÃ©_Lyn,4.0,24.0,183.0,73.0,5.375,40.0,283230,0.43708140000000006,0.1100313,0.0235743,0.403893,0.0478675,0.06150390000000001,0.6384054,0.3872988,0.3281142,0.7450518,0.0478675,0.0,0.0,68.3222
55,M. Depay,4.0,26.0,176.0,78.0,3.6666666666666665,44.0,9807267,0.48928320000000003,0.0877637,0.0561702,0.9896796,0.0137298,0.11908500000000001,1.1431004,0.6672078,0.6090614000000001,0.42590400000000006,0.041236100000000005,0.0,0.0,101.9778
56,M. GÃ³mez,4.0,24.0,186.0,91.0,6.857142857142858,32.0,137169,0.3577014,0.0770058,0.023091,0.3292758,0.015084100000000001,0.055246100000000006,1.78911,0.1463238,1.1199127,0.8587663000000001,0.1154891,0.0050436000000000005,0.0,92.9889
57,M. Icardi,4.0,27.0,181.0,75.0,7.111111111111112,60.0,6510041,0.5316948,0.1318872,0.017989500000000002,0.4177656,0.015644500000000002,0.057347600000000006,0.8144214000000001,0.1097334,0.3336715,0.29715210000000003,0.015644500000000002,0.0,0.0,89.5778
58,M. Marega,4.0,29.0,183.0,83.0,4.7,19.0,428775,0.45397799999999994,0.0849534,0.0381449,0.3477978,0.0361925,0.1537831,1.2711752,0.35513100000000003,0.7011071000000001,0.5699268,0.0497355,0.0,0.0,103.2444
59,M. Oyarzabal,4.0,23.0,181.0,78.0,7.0,48.0,67986,0.32644080000000003,0.06454739999999999,0.0254717,0.5309010000000001,0.0265723,0.23490100000000003,1.3772866,0.6169716000000001,0.6204562,0.4520093,0.04875480000000001,0.0,0.0,105.3778
60,M. Politano,4.0,27.0,171.0,67.0,6.166666666666668,22.5,422865,0.3372138,0.0387893,0.0228046,0.8237754,0.0059309,0.20235110000000003,1.5987734,0.7515018,0.815382,0.2618469,0.047634,0.0,0.0059309,78.4667
61,M. Rashford,4.0,23.0,180.0,70.0,6.615384615384616,64.0,8377022,0.5383854,0.0886766,0.036945599999999995,0.4642596,0.0048101,0.12048600000000001,1.7888012,0.7256466,0.674815,0.44341650000000005,0.0722916,0.0,0.0048101,96.8889
62,M. Reus,4.0,31.0,180.0,71.0,5.090909090909091,32.0,8519824,0.4869018,0.1013498,0.040543499999999996,0.5618214,0.039648300000000004,0.24456790000000003,1.1638286,0.4066524,0.5817419,0.5685258000000001,0.0462797,0.0,0.006631400000000001,70.6444
63,M. Salah,4.0,28.0,175.0,71.0,6.153846153846153,120.0,38661405,0.6664140000000001,0.1265172,0.0444815,0.704592,0.0036426,0.0942873,1.4240312,0.8278956,0.3989581,0.32279040000000003,0.0145237,0.0,0.0,128.7556
64,M. Thuram,4.0,23.0,189.0,79.0,3.888888888888889,22.5,377,0.38624040000000004,0.0637061,0.0205492,0.3992814,0.010741,0.15551099999999998,2.2513064,0.9894906000000001,0.8095912000000001,0.8095912000000001,0.0536116,0.0,0.010741,87.1
65,Malcom,4.0,23.0,172.0,65.0,3.272727272727273,30.5,2701605,0.3217914,0.0567072,0.0318978,0.9504054,0.0,0.1941786,2.1626422,0.8755614,1.1649315,0.35132410000000003,0.027739800000000002,0.0,0.0,50.5111
66,N. Fekir,4.0,27.0,173.0,72.0,4.5,32.0,1052652,0.5635602,0.08364669999999999,0.0398275,0.6939324,0.0155978,0.1558846,2.3320190000000003,1.0640322,1.5691667,1.0028358000000002,0.12468900000000001,0.0051837,0.0,89.8778
67,N. Maupay,4.0,24.0,173.0,69.0,3.7777777777777777,17.5,30993,0.5184648,0.0891241,0.0272796,0.44551080000000004,0.004763400000000001,0.10437450000000001,1.4118722000000001,0.31876740000000003,0.740195,0.6785043000000001,0.10437450000000001,0.0,0.0,98.4222
68,Neymar,4.0,28.0,175.0,68.0,5.416666666666668,128.0,139025980,0.691173,0.1601692,0.0789211,1.083348,0.0181663,0.12113980000000002,2.923371,2.0245302,1.8168635,0.40577630000000003,0.1271641,0.0120953,0.0,77.1111
69,P. Aubameyang,4.0,31.0,187.0,80.0,5.0,56.0,9446820,0.5434884,0.1336235,0.024737799999999997,0.386694,0.0128892,0.13771830000000002,1.0850846,0.2682666,0.2797797,0.2840761,0.0215287,0.0042964000000000006,0.0042964000000000006,108.5
70,P. Dybala,4.0,27.0,177.0,75.0,7.333333333333332,72.0,38548092,0.5397462,0.09257879999999999,0.0342069,0.8584758,0.0052304000000000005,0.21528700000000003,1.8531088,0.9902088000000001,1.3231044,0.3412836,0.0419833,0.0052304000000000005,0.0,88.9444
71,R. Firmino,4.0,29.0,181.0,76.0,6.0769230769230775,72.0,13194716,0.45284399999999997,0.0779724,0.050979199999999995,0.6491772,0.0273662,0.1682134,1.8141228,0.6555276,0.2660499,0.590755,0.011721700000000002,0.0,0.0,119.3667
72,R. JimÃ©nez,4.0,29.0,187.0,76.0,5.8,40.0,2079626,0.4731804,0.08618849999999999,0.0478825,0.5702508,0.0249845,0.2997673,1.9864332000000002,0.46913580000000005,0.5446154,0.6945224000000001,0.06495970000000001,0.0,0.0,93.4667
73,R. Lewandowski,4.0,32.0,184.0,80.0,6.8,56.0,17410571,0.7600824,0.1728245,0.0257044,0.437346,0.003736,0.1080638,1.4014115999999999,0.4735584,0.6819134,0.5105244,0.059635900000000006,0.0,0.0,125.3222
74,R. Lukaku,4.0,27.0,190.0,94.0,5.6875,68.0,6017371,0.5192207999999999,0.1094585,0.0269574,0.4388202,0.028954,0.0331103,1.484556,0.3818556,0.1945055,0.4386531,0.045532500000000004,0.0,0.0,112.8444
75,R. Mahrez,4.0,29.0,179.0,67.0,7.454545454545454,48.0,5333408,0.494613,0.06635529999999999,0.0702575,0.8284626,0.0152709,0.28005990000000003,1.9234380000000002,0.8243424,0.6823337,0.3309629,0.0203612,0.0,0.0,91.7111
76,R. Orsolini,4.0,23.0,183.0,73.0,6.111111111111112,20.0,102123,0.3697974,0.0606094,0.0370351,0.5546772,0.026338800000000002,0.27235440000000005,1.4232978,0.4906818,1.0103545,0.6062127,0.0439447,0.0,0.0,53.1556
