,player_name,position,age,height,weight,rating,value,follower,shots_total,shots_on,goals_total,goals_conceded,goals_assists,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_success,penalty_missed,penalty_saved,games_appearences,games_lineups,substitutes_in,substitutes_out,substitutes_bench,games_played
260,M. de Ligt,3.0,21.0,188.0,89.0,4.454545454545454,67.5,4987874,0.911,0.2822,0.1048,0.0,0.0242,48.2569,0.2015,5.0466,0.4756,0.4918,1.0964,5.8124,3.4826,0.2418,0.2015,0.4595,0.7175,0.137,0.0,0.0,0.0242,0.0242,0.0,0.0,0.0,1.0238,0.9835,0.0403,0.0242,0.1048,124.0444
265,Marquinhos,3.0,26.0,183.0,75.0,4.666666666666667,52.0,3115459,0.4386,0.0914,0.0914,0.0,0.0548,56.6772,0.2284,6.6975,0.9137,0.3289,1.069,4.066,2.467,0.201,0.1553,0.3015,0.6487,0.0731,0.0,0.0091,0.0,0.0091,0.0,0.0,0.0,1.0416,0.9959,0.0457,0.0731,0.1645,109.4444
267,N. AkÃ©,3.0,25.0,180.0,75.0,3.5,28.0,689371,0.6451,0.2283,0.0794,0.0,0.0397,36.9765,0.2382,4.1581,1.439,0.8237,1.1909,7.691,4.4558,0.1786,0.1489,0.516,0.6252,0.0893,0.0,0.0,0.0099,0.0099,0.0,0.0,0.0,1.042,1.0023,0.0397,0.0298,0.129,100.7667
270,N. Elvedi,3.0,24.0,189.0,78.0,6.0,28.0,56757,0.4058,0.116,0.058,0.0,0.029,50.4402,0.2609,6.0393,0.831,0.3189,1.691,6.2809,3.7975,0.8213,0.4831,0.6764,0.5604,0.116,0.0,0.0,0.0097,0.0097,0.0,0.0,0.0,1.0339,1.0146,0.0193,0.0966,0.029,103.4889
275,N. Milenkovic,3.0,23.0,195.0,90.0,7.0,24.0,62620,0.7373,0.2826,0.0737,0.0,0.0,38.3766,0.1229,5.8615,1.106,0.6144,1.2657,6.5989,3.8585,0.2703,0.2212,0.5038,1.6712,0.1966,0.0246,0.0,0.0,0.0,0.0,0.0,0.0,1.0322,1.0076,0.0246,0.0369,0.3072,81.3778
276,N. Mukiele,3.0,23.0,185.0,74.0,5.444444444444445,20.0,45741,0.7132,0.1813,0.0484,0.0,0.0363,35.2505,0.8825,5.9355,1.1242,0.0967,1.8496,7.8214,4.9201,1.5715,0.9308,1.4144,0.8704,0.1451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.221,1.0154,0.2055,0.2539,0.5077,82.7222
278,N. Semedo,3.0,27.0,177.0,67.0,6.363636363636363,32.0,3011108,0.2865,0.0836,0.0119,0.0,0.0716,52.0305,0.5849,10.2891,1.3607,0.1671,1.1698,8.5822,4.6552,2.6618,1.7188,1.4682,1.3488,0.2029,0.0,0.0,0.0477,0.0119,0.0,0.0,0.0,1.3249,1.0385,0.2865,0.2387,0.5968,83.7778
279,N. SÃ¼le,3.0,25.0,195.0,97.0,6.2,48.0,625272,0.6659,0.1937,0.0484,0.0,0.0242,69.4403,0.2179,10.0135,0.5812,0.3269,1.3198,5.1339,3.2813,0.1695,0.1211,0.339,0.6296,0.0605,0.0,0.0121,0.0,0.0242,0.0,0.0,0.0,1.1503,0.9808,0.1695,0.0242,0.3996,82.5889
280,N. Tagliafico,3.0,28.0,172.0,65.0,6.111111111111111,28.0,1049277,1.0887,0.3247,0.1146,0.0,0.1337,41.7243,0.9359,6.2171,1.5949,0.1815,2.378,7.7738,4.5936,0.85,0.5157,2.0055,1.3752,0.2674,0.0096,0.0,0.0191,0.0096,0.0,0.0,0.0,1.0314,1.0123,0.0191,0.0764,0.0382,104.7111
283,O. Zinchenko,3.0,24.0,175.0,64.0,6.615384615384615,24.0,32800,0.8684,0.1478,0.0554,0.0,0.0924,79.7824,1.164,19.9918,2.1803,0.1478,1.2934,9.0536,4.8039,0.7391,0.425,0.2032,0.9793,0.0739,0.0185,0.0,0.0,0.0,0.0185,0.0,0.0,1.1825,0.9977,0.1848,0.1848,0.7575,54.1222
